,text
0,folk said daikon paste could treatcytokine storm 
1,world wrong side history year hopefully big vaccination effort ev 
2,russian vaccine created last 2 4 year 
3,fact immutable senator even ethically sturdy enough acknowledge 1 born 
4,explain needvaccine borisjohnson matthancock 
5,anyone useful advice guidance whether covid vaccine safe whilst breastfeeding 
6,isbit sad claim fame success patriotic competition usa canada uk 
7,many bright day 2020 best 1 winning 
8,covid vaccine getting 
9,state start getting monday say 
10,death closing 300 000 mark million people wait first u 
11,cnnbrk best wish u 
12,agency also released new information health care provider patient u shipped million 
13,woman healthcare provider asking safety 
14,expect 145 site across state receive vaccine monday another 425 site tuesday said offic 
15,trump announces rollout le 24 hour first american vaccinated 
16,updated amp part two 
17,coronavirus iran report 8 201 new case 221 death last 24 hour 
18,pfizer rake billion expensive albertbourla refuse cut price lowe 
19,trump administration failed deliver vaccine promise shocker 
20,much get paid approve ofsudden money make world go around 
21,anyone wondering day approval uk people getting vaccinated tol 
22,trump announces rollout le 24 hour first american vaccinated 
23,u food drug administration fda granted emergency use authorization pfizer biontechmrna 
24,presenting top medical news advancement past week donwant miss 
25,1 2 done nhsuk mhragovuk pfizer making dream po 
26,wearmask wash hand remain socially distant possible 
27,avgerinosmoscow approval apprentice style realdonaldtrump approve 
28,interesting detailed article showing howwell tested help 
29,covid 19 belong 
30,zubymusic 6 death far itonly death nothing worry 
31,sbnumb3 nytimes please donspread fake news evidence case linked 
32,authorized united state last night 
33,respect due process give approval instead 29th december surely multiple cou 
34,vaccine anyone 
35,immigrant muslim couple find covid 19 vaccine 
36,finally issue come problem transporting vaccine need kept 
37,lady gentleman expert every household 
38,fact sheet healthcare provider administering vaccine 
39,mirekr9 sputnikvaccine astrazeneca check table 23 table took pennyw 
40,mirekr9 sputnikvaccine astrazeneca itthe one doesnhave side effect 
41,fact sheet recipient caregiver 
42,covid 19 
43,trump announces rollout le 24 hour first american vaccinated 
44,authorizes vaccine emergency use 
45,poison enough left side effect like flocking 
46,realdonaldtrump dairy dose dumbsville 
47,u approved two vaccine amp 200 develo 
48,ema_news get set approve roll preparation pick pace across meanwhile 
49,covid 19 news update public questioned whether actually received shot video footage appeared show 
50,tragedy another life taken corporate greed evil pharmaceutical company 
51,never excited getvaccine 
52,building last weektrial run extending vaccination programme week much effort going b 
53,first covid 19 vaccine dos arrived oregon watch 6am 9am tomorrow det 
54,told world health organization intend import covid 19 bec 
55,concerned side effect vaccine check recap 
56,suchgreat feelingbig thank healthcare professional scientist nurse doctor caregiver 
57,member teamster delivered first morning 
58,getting first dose next weekend seeing made r 
59,taking covid 19 vaccine available 
60,farandwide erinotoole michellerempel rempel trudeau exchange seen believedsaw 
61,new york state administered first non trial vaccine morning tohealth care worker p 
62,cpho_canada female sterilization untested liability 
63,cpho_canada key milestone achieved shutting amp untested l 
64,govparsonmo say shipment vaccine continue ship missouri21 vaccinat 
65,nygovcuomo cmargaronis pfizer ups germany based let hope small number 
66,icu nurse sandra lindsay said proud becoming one first american receive pfizer 
67,farandwide erinotoole michellerempel screenshot exchange unfortunately hansard c 
68,meghanmccain asphysician currently covidcried 
69,dwain_campbell unfortunately hansard capture aggro finger pointing desk thumping 
70,cdnadvocacy hallo unroll asked cdnadvocacy 1 updated clinical guidel 
71,fordnation odd verb choice doug hand observe welcome anita anand put 
72,first ontarian vaccinated minute laterpsw anita quidangen toronto 
73,pattyhajdu would take vaccine listen expert untested 
74,weekend issued guidance pilot following use new 
75,scientist husband wife saving world 
76,surprised learn autoimmune condition otherwise immunosuppressed advised receive 
77,farandwide erinotoole erintoolehand picked health critic michellerempel going even 
78,money go covid pioneer asking forfriend klan 
79,vaccine work article madedetailed explanation 
80,skynews isnew type vaccine man daft hurt ear listening big question 
81,thejagmeetsingh actually read global news article jagmeet tweet embedded therein j 
82,first covid 19 vaccination today thank everyone stepping getting 
83,personal support worker became one first people receive 
84,state supposed get 35 100 dos total vaccine week remained 30 225 
85,get 25k dos vaccine wednesday dec 15 ochealth confirms 
86,ohaoregon legacy health first registered covid 19 vaccine 
87,asifintoronto ctvqp ruh roh anitaalso saw heard michelle rempel suggest house 
88,kfdmfox 4thepaigereport1 baptist hospital gettingfirst hand look pfizer covid 19 vacci 
89,canadian pm justin trudeau announced arrival first vaccine vial country 
90,privileged offered vaccinewould encourage everyone take help protect peo 
91,one first vaccine receiver u momentous science hope arrived 
92,half way 
93,canwait take kid towards herd immunity 
94,toronto receive ontario1st dos pfizer covid 19 vaccine today 
95,good news first dos vaccine arrived california last night gov gav 
96,pandemic 
97,make vaccine company liable 
98,fda authorizes emergency use pfizer vaccine 
99,katejulien theresalubowitz supervisingm torn politician going first ish show important 
100,wondering every pfizer employee way boardroom vaccinated yet 
101,last night first arrived canada speak first vaccine admin 
102,happy cold chain day way getvaccine distributed across county 
103,received first dose todayfeel privileged amp lucky p 
104,several country including u uk approving use 
105,hospitalwork received vaccine iv room made first five dos given state 
106,last night anitaoakville welcomed first 30k dos although havel 
107,historical moment administered upmchealthbeat pitt 
108,nurse new york city monday became first person united state receive corona 
109,nurse new york city monday became first person united state receive coronavirus 
110,methodistdallas received first shipment vaccine front line healthcare 
111,itkind surreal vaccine dropping today 
112,coronavirus vaccine ship today expect hospital overwhelmed nine month baby delivery 
113,per cdc person hiv immunocompromising condition may still receive covid 19 vaccine unless 
114,realdonaldtrumpm graveling foot someone killed 290k usaappreciate 
115,science everywhere itresults entire world approve vaccine one country 
116,president trump say first vaccine united state administered 
117,1st dos vaccine arrive helloryanjones 
118,transport initial dos ups fdx 
119,vaccination campaign begin today quebec resident maimonides among first senior 
120,kudos ups ups announced 13th involvement amp full support distribution effort 
121,tuna container freezer used ship givennew role 
122,end sight many coworkers andare getting first dos 
123,pfizer received emergency use authorization food drug administration covid 19 vaccine develope 
124,thank thank thank scientist worked development vaccine covid 19 
125,well done usa 
126,sunday eveningshipment first initial 30 000 dos pfizer vaccine spread across 14 dist 
127,shipment initial dos covid 19 vaccine arrived selected port entry canada sunday 
128,approves pfizer vaccine first shipment expected end say pm lee hsien loong 
129,lipid used lipid nanoparticle used biontech pfizer 
130,canada begin roll 
131,approval vaccine approves pfizer expects first shot decemb 
132,first pfizer coronavirus vaccine dos set arrive hospital 
133,vaccinated 1 1 million new case confirmed past week death toll 306 00 
134,u health care worker amp vulnerable receive pfizer biontech shot truck sunday began shipping milli 
135,sammwittings oh great thought wouldnt able see xmas btwheard radio shropsh 
136,vaccine making way distribution site nationwide fedex say 
137,u set start drive dos ready 
138,became monday first asian country approve said ex 
139,singapore approves pfizer vaccine becomes first south east asian country approve vaccine dos gi 
140,covid 19 vaccine distributed formally cast vote today los 
141,caught video admitting change forever via 
142,approves 
143,excited tomorrow honoured part exciting team administering primary care 
144,ludovicotodini taxistalobbyst caught video admitting change forever 
145,get vaccine yet via youtube 
146,begin roll 
147,approves first shipment expected end december 
148,gopchairwoman gop realdonaldtrump thank amp team 
149,uexpects immunized 100 million end march slaoui 
150,singaporeplan tackle really effective early pandemic 1 bn set aside fo 
151,singapore approves pfizer biontech_group vaccine local use vaccine safe use people aged 16 
152,phase 3 begin dec 28 vaccine first arrive end dec shot free 
153,realdonaldtrump world thank amp team 
154,vaccine mean thatm gon na eventually wearproper bra agreement un 
155,u began shipment sunday following final cdc approval far 
156,true question many vaccine vaccine need given 2 shot 
157,first million arrived u afterlast minute 
158,offered recently authorized vaccine 
159,unlikely available india mass distribution read find 
160,set begin coronavirus vaccination drive today dos vaccine set 
161,politico december 13 2020 fdahahn covid 19 vaccine authorization based science data 
162,politico december 13 2020 fdahahn covid 19 vaccine authorization based science data 
163,idue get vaccine tuesday super thrilled 
164,start today according late figure maximum case 16 7 mil 
165,nursing home pennsylvania prepare covid 19 vaccine distribut 
166,vaccine save life hopefully hcw assuage public fear anxiety regarding vaccine finally 
167,1st dos arrive 
168,politician 
169,first batch dos pfizer biontechcovid 19 vaccine arrived canada pm trudeau said twitter 
170,start today according late figure maximum case 16 7 mil 
171,good news vaccine arrived vaccine like also coming 
172,money onmr mark twain getting one first dos united state calnbc 
173,aka hacker group suspected hacking federal agency like treas 
174,pfizer biontechcovid19 vaccine also urgently needed africa amp rest 
175,come 
176,realdonaldtrump might well call 100 year ahead nothing 
177,pash22 cdcgov caseymross interesting approach guidanceclear person withhistory anaph 
178,pfizer biontech covid 19 vaccine donald trump mike penny amp top u official offered early access newly 
179,hackedfew day ago hack announced todaywhol 
180,safe thank fedex 
181,rainartchik nowhere near 2030 premature innoculation 
182,first batch dos vaccine yay many congratulation 
183,welcoming 1st tonight 1st 30k dos arriving across cou 
184,information vaccine severe allergy 
185,welp thanks already arengoing quite planned distribution 
186,mt murray_nyc five year ahead schedule ita pandemic pre determined schedule ackno 
187,excellent news great president trump administration pushed get vaccine ready qui 
188,good heaven stupid reason even onslow day getdummy slither away alr 
189,say wontake pfizervaccine covid 19 read report 
190,ithere 
191,whatprocess definitely thought everything publicity wise 
192,turkeycoronavirus death toll reach 16 417 drfahrettinkoca 
193,case anyone interested islink patient information 
194,tameemmurtuza yes link patient education information given 
195,first vaccine going officially allows 
196,infection 220 575 43 279 30 805 
197,covid vaccine given green light u 
198,kind leave behind 
199,chesleydohl audie_murphy45 cspan trump claiming vaccine one administrati 
200,go grateful among first group vaccinated healthcare worker tampa fl 
201,released interim guidance use covid vaccine 
202,dr kathy lofy say vaccine benew tool tool box say also get vaccinated soon 
203,advisory committee immunization practice interim recommendation use pfizer biontech covid 19 vaccin 
204,turkeycoronavirus death toll reach 16 417 drfahrettinkoca 
205,recommended use vaccine person 16 year age old 
206,cdcdirector redfield signed recommendation panel recommends 
207,box containing first shipment pfizer biontech prepared sent 
208,whatgreat day country amp world realdonaldtrump one day close leaving whitehouse first 
209,answer question 
210,watched capehartj new maria_hinojosa correctly stated two death among 
211,38 day 
212,agree uk u vaccinate technology pioneered 2 german one u biotech u celebrates distribution 
213,realdonaldtrump varneyco pfizer funded operation warp speed would never supported mu 
214,covid 19 vaccination bit helping save human race mega sore arm today expected small pr 
215,jeremysale nytimes apparently truck escorted u marshal stay safe hijacking 
216,airborne heading memphis fedex a306 n669fe 
217,newly approved start distributed u state dec 14 according 
218,yvettedoc50 teamgp nhsengland nikkikf pulsetoday think going seeinglot happening l 
219,tedcruz know trumpkins like informed go 1 vaccine developed 
220,firm acuitas heart great story ubcprez helped early wi 
221,day beginning end thatwhere today said cautioning would still take month 
222,first truck loaded pfizercoronavirus shot pulled ofmichigan warehouse early sunday starting 
223,joebiden kamalaharris thanks bringing fresh air positivity godhand pushing u forw 
224,toxic 
225,afp vaccine began leaving companyfactory sunday set 
226,eng nh worker vaccine isgame changer 
227,covid 19 vaccine began leaving companymichigan factory sunday set inje 
228,jojofromjerz someone remind tedcruz vaccine developed u 
229,rival u company working side side ship 
230,first shipment pfizer biontech coronavirus vaccine leaf michigan facility 
231,kuwait authorizes emergency use pfizer biontech covid 19 vaccine covid news visit 
232,approval vaccine fda advisory board last minute news u food drug administra 
233,happy relieved amazing work mhragovuk nhsuk since 
234,company submitted applicat 
235,u food drug administration fda issued yesterday first emergency use authorization pfizer bion 
236,covid 19 vaccination late update youtube youtubecreators youtubetrends 
237,10 month 3 week since first case finally relief uncle sam vaccination start monday 
238,first truck filled hit road 
239,u say covid 19 vaccine start arriving state monday via 10tampabay 
240,interesting watch cnnnewday live coverage loading vaccine pfizer plant 
241,arecomin 
242,global coronavirus death toll reach 1 611 637 worldometers 
243,two people united kingdom experienced allergic reaction pfizer biontech covid 19 vaccine rea 
244,petedeveson anna_down rcgp martinrcgp skynews gps struggling provide core service amp many made di 
245,first shipment vaccine begin arriving state monday offi 
246,number likely get bad holiday offeringbright spot fight 
