,location,iso_code,vaccines,last_observation_date
3,austria,AUT,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-02-10
6,belgium,BEL,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-02-09
10,bulgaria,BGR,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-02-10
11,canada,CAN,"Moderna, Pfizer/BioNTech",2021-02-10
18,czechia,CZE,"Moderna, Pfizer/BioNTech",2021-02-10
19,denmark,DNK,"Moderna, Pfizer/BioNTech",2021-02-09
23,estonia,EST,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-02-10
25,finland,FIN,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-02-10
26,france,FRA,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-02-09
27,germany,DEU,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-02-09
29,greece,GRC,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-02-10
33,iceland,ISL,"Moderna, Pfizer/BioNTech",2021-02-08
36,ireland,IRL,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-02-07
38,israel,ISR,"Moderna, Pfizer/BioNTech",2021-02-10
39,italy,ITA,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-02-10
42,latvia,LVA,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-02-09
43,liechtenstein,LIE,"Moderna, Pfizer/BioNTech",2021-02-03
44,lithuania,LTU,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-02-10
45,luxembourg,LUX,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-02-09
53,netherlands,NLD,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-02-10
56,norway,NOR,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-02-09
60,poland,POL,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-02-09
61,portugal,PRT,"Moderna, Pfizer/BioNTech",2021-02-10
62,romania,ROU,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-02-10
72,spain,ESP,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-02-09
75,switzerland,CHE,"Moderna, Pfizer/BioNTech",2021-02-07
79,united states,USA,"Moderna, Pfizer/BioNTech",2021-02-10
